quote,attributed,publication
"Say little, do much.",,
Get out of your head.,,
He who is brave is free.,Seneca,
No is a complete sentence.,Ann Lamott,
Facts are better than dreams.,Winston Churchill,
No man was ever wise by chance,Seneca,
Am I being selfish or selfless?,Ryan Holiday,Ego Is The Enemy
The things which hurt instruct.,Benjamin Franklin,
What we do now echos in eternity,Marcus Aurelius,
All vices are at odds with nature.,Seneca,
To be or to do? Which way will you go?,John Boyd,
You can do anything but not everything,Greg McKeown,Essentialism
Only time can heal what reason cannot.,Seneca,
To philosophize is to learn how to die.,Cicero,
Don’t explain your philosophy. Embody it.,Epictetus,
A nation is born stoic and dies epicurean.,Will Durant,
A man’s best treasure is a thrifty tongue.,Hesiod,
Does this allow me to do what I need to do?,Ryan Holiday,Ego Is The Enemy
"If you aim at nothing, you will hit nothing.",,
The best revenge is not to be like your enemy.,Marcus Aurelius,
The best revenge is not to be like your enemy.,Marcus Aurelius,
Does this help me do what I have set out to do?,Ryan Holiday,Ego Is The Enemy
The first product of self-knowledge is humility.,Flannery O'Connor,
It is the power of the mind to be unconquerable.,Seneca,
Be tolerant with others and strict with yourself.,Marcus Aurelius,
Blessings and burdens are not mutually exclusive.,Ryan Holiday,The Obstacle Is The Way
Would you have a great empire? Rule over yourself.,Publius Syrus,
"Do what you can, with what you have, where you are.",Theodore Roosevelt,
Most powerful is he who has himself in his own power.,Seneca,
It can ruin your life only if it ruins your character.,Marcus Aurelius,
You can’t build a reputation on what you’re going to do,Henry Ford,
Nec aspera terrent. Don’t be frightened by difficulties.,,
It is hard to bear the results of good fortune suitably.,Aristotle,
Luck is what happens when preparation meets opportunity.,Seneca,
"We must all become our own teachers, tutors, and critics.",Ryan Holiday,Ego Is The Enemy
"Death doesn’t make life pointless, but rather purposeful.",Ryan Holiday,The Obstacle Is The Way
"Difficulties strengthen the mind, as labor does the body.",Seneca,
Failure shows us the way—by showing us what isn’t the way.,Ryan Holiday,The Obstacle Is The Way
Timendi causa est nescire - Ignorance is the cause of fear.,Seneca,
How does it help…to make troubles heavier by bemoaning them?,Seneca,
"If a man knows not which port he sails, no wind is favorable.",Seneca,
Waste no more time arguing what a good man should be. Be One.,Marcus Aurelius,
Reject your sense of injury and the injury itself disappears.,Marcus Aurelius,
Ego leads to envy and it rots the bones of people big and small,Ryan Holiday,Ego Is The Enemy
Sometimes what you don’t do is just as important as what you do.,Greg McKeown,Essentialism
"If a man knows not to which port he sails, no wind is favorable.",Seneca,
Talk depletes us. Talking and doing fight for the same resources.,Ryan Holiday,Ego Is The Enemy
It is impossible to learn that which one thinks one already knows.,Epictetus,
A popular idea in Silicon Valley is “Done is better than perfect.”,Greg McKeown,Essentialism
"If it is not right, do not do it, if it is not true, do not say it.",Marcus Aurelius,
Sometimes life hits you in the head with a brick. Don’t lose faith.,Steve Jobs,
"Receive feedback, maintain hunger, and chart a proper course in life",Ryan Holiday,Ego Is The Enemy
The happiness of your life depends upon the quality of your thoughts.,Marcus Aurelius,
The best plan is only good intentions unless it degenerates into work.,Peter Drucker,
Your perspective on life comes from the cage you were held captive in.,Shannon L. Alder,
Just because I was invited didn’t seem a good enough reason to attend.,Greg McKeown,Essentialism
"Begin at once to live, and count each separate day as a separate life.",Seneca,
How long are you going to wait before you demand the best for yourself?,Epictetus,
He who fears death will never do anything worthy of a man who is alive.,Seneca,
We’re never unhappy until we remember why we’re supposed to be unhappy.,Daniel V. Chappell,
"Every day, do something that will inch you closer to a better tomorrow.",Doug Firebaugh,
Whatever you have been expecting for some time comes as less of a shock.,Seneca,
First say to yourself what you would be; and then do what you have to do.,Epictetus,
Uncertainty is an uncomfortable position. But certainty is an absurd one.,Voltaire,
I must apologize: if I had more time I would have written a shorter letter.,Blaise Pascal,
We decide what story to tell ourselves. Or whether we will tell one at all.,Ryan Holiday,The Obstacle Is The Way
How much more grievous are the consequences of anger than the causes of it.,Marcus Aurelius,
Do every act of your life as though it were the very last act of your life.,Marcus Aurelius,
"Sometimes in life we must fight not only without fear, but also without hope.",Alessandro Pertini,
People learn from their failures. Seldom do they learn anything from success.,Ryan Holiday,Ego Is The Enemy
I begin to speak only when I’m certain what I’ll say isn’t better left unsaid.,Cato,
It’s a temptation that exists for everyone—for talk and hype to replace action.,Ryan Holiday,Ego Is The Enemy
What need is there to weep over parts of life? The whole of it calls for tears.,Seneca,
"It is not the man who has too little, but the man who craves more, that is poor.",Seneca,
You could leave life right now. Let that determine what you do and say and think.,Marcus Aurelius,
"The ultimate power in life is to be completely self-reliant, completely yourself.",Robert Greene,
"In every situation, life is asking us a question, and our actions are the answer.",Ryan Holiday,The Obstacle Is The Way
"As is a tale, so is life: not how long it is, but how good it is, is what matters",Seneca,
There is no better way to grow as a person than to do something you hate every day.,David Goggins,
"It is not death that a man should fear, but he should fear never beginning to live.",Marcus Aurelius,
"Sobriety, open-mindedness, organization, and purpose—these are the great stabilizers.",Ryan Holiday,Ego Is The Enemy
"The killer question: “If I didn’t already own this, how much would I spend to buy it?”",Greg McKeown,Essentialism
I was trapped so terribly inside my own head that I was a prisoner to my own thoughts.,Ryan Holiday,Ego Is The Enemy
Curb your desire—don’t set your heart on so many things and you will get what you need.,Epictetus,
"First, see clearly. Next, act correctly. Finally, endure and accept the world as it is.",Ryan Holiday,The Obstacle Is The Way
"When we are no longer able to change a situation, we are challenged to change ourselves.",Viktor Frankl,
"In your soul, don’t be passive or aggressive. In your life, don’t be all about business.",Marcus Aurelius,
"We cannot buy into myths we make ourselves, or the noise and chatter of the outside world.",,
We are more often frightened than hurt; and we suffer more in imagination than in reality.,Seneca,
Instead of trying to improve every aspect of the facility he needs to identify the “Herbie”,Greg McKeown,Essentialism
"If you’ll study even the smallest bit of science, for all practical purposes we are nothing.",Naval Ravikant,
You’re not as good as you think. You don’t have it all figured out. Stay focused. Do better.,Ryan Holiday,Ego Is The Enemy
Hang on to your youthful enthusiasms -- you’ll be able to use them better when you’re older.,Seneca,
